降水量の合計(mm),最高気温(℃),最低気温(℃),最多風向(16方位),天気概況(昼：06時〜18時),平均雲量(10分比),平均蒸気圧(hPa)
1.0,30.9,22.6,2,4,6.8,24.1
0.0,28.9,20.8,2,2,7.5,20.6
0,27.4,19.6,2,2,7.0,20.1
0,28.1,18.2,7,2,5.0,21.2
0,29.6,20.0,8,2,9.3,22.3
0.0,27.7,22.4,7,4,9.8,25.9
0,29.7,21.4,1,4,6.8,22.2
0,30.1,20.9,6,2,5.3,21.0
0,29.6,20.4,7,2,4.3,21.5
0.0,28.3,20.6,8,4,8.8,22.4
10.0,29.4,21.5,7,10,7.3,23.6
0,30.3,21.5,14,2,2.5,19.4
5.5,23.3,18.7,2,10,9.8,20.6
7.0,25.0,17.3,15,4,8.8,18.4
5.5,27.1,18.2,9,4,10.0,23.1
0,25.1,17.0,15,2,2.8,11.9
9.0,25.2,15.0,15,2,5.8,16.2
7.5,21.7,16.3,15,4,10.0,22.3
209.5,25.2,20.7,2,0,10.0,28.0
0.0,28.5,19.4,15,1,2.8,16.2
5.0,20.2,15.4,15,10,10.0,16.9
0.0,23.0,16.2,3,4,10.0,16.7
0.0,18.5,14.6,2,4,9.5,12.7
4.5,18.4,15.1,0,4,10.0,15.9
5.5,19.5,14.9,1,4,10.0,17.1
53.5,20.2,14.6,14,4,9.5,19.7
0.0,23.9,17.7,3,4,10.0,19.9
6.5,21.3,14.9,1,4,10.0,16.2
65.0,17.2,14.2,15,10,9.8,16.2
0.0,24.8,12.4,13,2,5.3,15.7
3.0,21.0,14.6,1,4,10.0,16.7
120.5,16.3,14.5,15,0,10.0,17.0
0.5,24.5,13.3,9,4,7.0,17.6
0.0,22.5,15.8,0,4,9.5,16.4
0.0,21.4,15.0,15,2,7.0,13.9
11.5,16.3,12.6,15,10,7.8,15.3
0,22.7,12.1,13,2,3.5,15.4
0,22.0,14.0,8,3,5.0,15.7
0,23.9,12.2,14,1,0.0,14.1
0,19.9,10.9,15,2,4.0,11.2
10.5,18.9,12.7,1,4,10.0,14.2
1.0,20.2,11.0,1,1,4.5,12.0
0,19.2,9.0,13,1,0.0,8.9
0,21.2,8.8,14,1,0.0,9.6
0,22.6,9.8,15,2,5.3,11.2
0,19.2,11.9,15,2,4.0,9.3
0,17.4,11.3,2,2,6.5,9.4
0.0,18.6,9.2,0,1,3.8,10.0
6.5,17.9,10.8,13,2,8.3,13.2
0,21.8,9.2,14,1,0.3,9.5
0.5,16.1,11.3,15,4,8.0,9.3
0.0,22.3,11.6,15,2,5.3,11.2
0,17.1,9.7,14,2,2.8,9.2
0,18.9,7.8,13,1,0.3,9.3
0,19.7,8.2,14,2,3.8,8.0
0.0,21.4,9.4,8,2,6.8,12.8
3.0,20.7,11.7,15,4,8.0,13.4
0,15.9,9.6,15,2,3.8,5.5
0,15.7,8.5,15,2,3.3,6.1
47.0,10.8,6.3,15,10,10.0,9.4
60.5,13.0,9.2,15,10,10.0,13.4
19.0,19.1,12.9,15,10,10.0,18.0
