降水量の合計(mm),最高気温(℃),最低気温(℃),最多風向(16方位),天気概況(昼：06時〜18時),平均雲量(10分比),平均蒸気圧(hPa)
0.5,30.5,17.7,15,2,7.3,17.6
2.0,23.6,19.8,15,4,10.0,21.0
2.0,28.2,21.2,15,4,9.3,22.6
2.0,32.9,22.5,7,4,7.0,26.9
0.0,27.2,20.6,13,4,6.5,20.4
0,30.2,19.4,15,2,5.3,18.2
0,31.0,20.6,9,2,6.8,21.2
0,29.9,22.8,7,4,9.5,22.2
0,29.3,22.4,6,4,8.8,21.3
0.0,31.8,22.3,12,3,9.8,21.2
1.5,34.1,23.9,15,4,8.8,24.5
1.0,31.4,23.2,6,2,8.5,25.0
0.0,28.2,23.1,6,4,10.0,21.9
10.5,29.7,20.2,7,4,10.0,22.7
10.0,28.9,20.6,13,2,5.5,21.7
0,28.7,18.8,15,2,3.5,18.2
0,28.8,19.6,15,2,5.0,16.3
0.0,23.9,18.3,15,4,9.8,17.7
0.0,23.1,18.9,15,4,9.0,19.6
0,25.5,16.2,15,1,2.8,10.6
0,29.6,15.6,15,2,3.3,15.9
3.5,29.1,21.8,15,4,10.0,21.1
74.5,23.9,21.0,0,0,10.0,23.1
0,26.9,19.3,14,1,2.0,16.0
6.0,20.0,16.9,15,10,9.3,18.2
0,25.0,14.6,15,1,3.0,12.6
0,22.9,13.6,15,2,6.0,10.8
0.0,22.7,14.8,15,4,7.8,14.9
45.5,19.9,17.2,15,10,10.0,20.4
15.0,20.9,17.1,15,10,10.0,21.5
0,26.3,17.2,15,3,9.8,16.4
36.5,21.7,17.4,15,4,10.0,18.3
16.5,25.2,15.6,15,2,7.5,17.2
0,25.7,15.8,0,3,7.3,16.1
6.5,22.3,16.9,0,4,10.0,19.2
124.0,17.3,15.4,0,0,7.8,18.1
0,23.2,14.9,13,4,7.5,16.2
0.0,23.4,15.8,14,4,9.0,14.6
0,23.4,13.4,15,2,7.8,12.4
7.0,17.2,13.8,15,10,7.8,16.0
